,ID,Q,Rating,Ctype,CtypeT,CtypeC,Anim,Cpair
207,6,27,7,Loc,TransL,NCsl,base,base
208,6,28,7,Loc,TransL,NCsl,base,base
209,6,29,7,Poss,TransL,NCsl,ivs,caus
210,6,30,7,Poss,TransL,NCsl,ivs,caus
211,6,31,7,Poss,TransL,NCsl,base,caus
212,6,32,7,Poss,TransL,NCsl,base,caus
213,6,33,7,Poss,TransL,NCsl,ivs,base
214,6,34,7,Poss,TransL,NCsl,ivs,base
215,6,35,7,Poss,TransL,NCsl,base,base
216,6,36,7,Poss,TransL,NCsl,base,base
217,7,1,7,PhsH,TransH,Csl,ivs,caus
218,7,2,6,PhsH,TransH,Csl,ivs,caus
219,7,3,7,PhsH,TransH,Csl,base,caus
220,7,4,7,PhsH,TransH,Csl,base,caus
221,7,5,7,PhsH,TransH,Csl,ivs,base
222,7,6,7,PhsH,TransH,Csl,ivs,base
223,7,7,6,PhsH,TransH,Csl,base,base
224,7,8,7,PhsH,TransH,Csl,base,base
225,7,9,7,PhsL,TransL,Csl,ivs,caus
226,7,10,7,PhsL,TransL,Csl,ivs,caus
227,7,11,7,PhsL,TransL,Csl,base,caus
228,7,12,7,PhsL,TransL,Csl,base,caus
229,7,13,7,PhsL,TransL,Csl,ivs,base
230,7,14,7,PhsL,TransL,Csl,ivs,base
231,7,15,7,PhsL,TransL,Csl,base,base
232,7,16,7,PhsL,TransL,Csl,base,base
233,7,17,7,Aff,TransL,Csl,ivs,caus
234,7,18,6,Aff,TransL,Csl,ivs,caus
235,7,19,7,Aff,TransL,Csl,ivs,base
236,7,20,7,Aff,TransL,Csl,ivs,base
237,7,21,7,Loc,TransL,NCsl,ivs,caus
238,7,22,7,Loc,TransL,NCsl,ivs,caus
239,7,23,7,Loc,TransL,NCsl,base,caus
240,7,24,7,Loc,TransL,NCsl,base,caus
241,7,25,7,Loc,TransL,NCsl,ivs,base
242,7,26,7,Loc,TransL,NCsl,ivs,base
243,7,27,7,Loc,TransL,NCsl,base,base
244,7,28,7,Loc,TransL,NCsl,base,base
245,7,29,7,Poss,TransL,NCsl,ivs,caus
246,7,30,7,Poss,TransL,NCsl,ivs,caus
247,7,31,7,Poss,TransL,NCsl,base,caus
248,7,32,7,Poss,TransL,NCsl,base,caus
249,7,33,7,Poss,TransL,NCsl,ivs,base
250,7,34,7,Poss,TransL,NCsl,ivs,base
251,7,35,7,Poss,TransL,NCsl,base,base
252,7,36,7,Poss,TransL,NCsl,base,base
253,8,1,7,PhsH,TransH,Csl,ivs,caus
